project_id,city,region,project_type,land_area_m2,building_area_m2,floors,units,finishing_level,construction_method,structural_system,concrete_m3,steel_ton,blocks_m2,tiles_m2,paint_m2,electrical_points,plumbing_points,estimated_cost_sar,duration_months,year
SA-R00023,Makkah,Western,School,,3886.098808717488,3,44,Luxury,ICF,RC Frame,2420,262.69,20985,7578,25648,1749,466,75530000,26,2024
SA-R00024,Madinah,Western,Mosque,,3469.9770614530166,2,22,Standard,PostTension,RC Frame,1417,143.09,12492,4511,15268,1041,278,12370000,21.5,2025
SA-R00025,Madinah,Western,Residential_Compound,,8807.815001577315,3,83,Premium,Traditional,RC Frame,5221,538.43,47562,17175,58132,3964,1057,106190000,45.5,2021
SA-R00026,Najran,Southern,DataCenter,,3167.8455305726284,2,17,UltraLuxury,Traditional,RC Frame,1080,146.84,11404,4118,13939,950,253,59220000,25,2025
SA-R00027,Najran,Southern,Hospital,,43364.08281786761,4,316,Good,AAC,Shear Wall,62308,8506.76,312221,112747,381604,26018,6938,389190000,128,2026
SA-R00028,Hail,Northern,Residential_Compound,,7911.241656532331,1,89,UltraLuxury,AAC,RC Frame,2096,213.52,14240,5142,17405,1187,316,77810000,41.5,2022
SA-R00029,Hail,Northern,Parking,,12383.79375241179,3,70,Luxury,PostTension,RC Frame,6693,626.54,66872,24148,81733,5573,1486,213480000,41,2026
SA-R00030,Najran,Southern,Office_Building,,11443.081165837504,5,67,UltraLuxury,AAC,RC Frame,14336,1644.03,102988,37190,125874,8582,2289,514050000,43.5,2025
SA-R00031,Hail,Northern,Villa,448,1064.3744732238458,1,1,UltraLuxury,Precast,Load Bearing,242,26.04,1916,692,2342,160,43,10380000,11,2023
SA-R00032,Dammam,Eastern,Townhouse_Project,,5379.611097398876,2,45,Premium,Precast,RC Frame,1964,220.11,19367,6993,23670,1614,430,45920000,33,2020
SA-R00033,Tabuk,Northern,Office_Building,,19983.722132156217,13,121,UltraLuxury,Precast,RC Frame,51679,5781.5,467619,168862,571534,38968,10392,2497270000,56.5,2026
SA-R00034,Tabuk,Northern,Mall,,83597.40193570477,6,478,Standard,ICF,RC Frame,95500,11146.85,902852,326030,1103486,75238,20063,815610000,138.5,2021
SA-R00035,Buraydah,Central,DataCenter,,2449.510029441565,1,23,Luxury,SteelFrame,RC Frame,756,99.67,4409,1592,5389,367,98,15130000,20,2020
SA-R00036,Taif,Western,Road,,,,,Raw,ICF,RC Frame,,,,,,,,0,15,2025
SA-R00037,Riyadh,Central,University,,32659.164544293733,5,196,Raw,PostTension,RC Frame,39307,4202.96,293932,106142,359251,24494,6532,166670000,60,2020
SA-R00038,Abha,Southern,Hotel,,29661.286075285767,18,257,Raw,Traditional,RC Frame,143894,18132.06,961026,347037,1174587,80085,21356,434390000,97.5,2022
SA-R00039,Najran,Southern,DataCenter,,4218.318442379514,1,21,Premium,SlipForm,RC Frame,1221,154.88,7593,2742,9280,633,169,14760000,27.5,2022
SA-R00040,Dammam,Eastern,Government_Building,,7323.078115057955,5,43,Luxury,SlipForm,RC Frame,6728,739.78,65908,23800,80554,5492,1465,245920000,48.5,2026
SA-R00041,Abha,Southern,University,,38908.383807540784,6,206,UltraLuxury,Precast,RC Frame,48419,5532.65,420211,151743,513591,35018,9338,2286650000,65,2025
SA-R00042,Madinah,Western,Residential_Tower,,39248.5905272842,60,198,UltraLuxury,PostTension,Post Tension,453651,58420.51,4238848,1530695,5180814,353237,94197,24985000000,177,2022
SA-R00043,Taif,Western,Bridge,,,,,Good,Traditional,RC Frame,,,,,,,,0,15.5,2026
SA-R00044,Dammam,Eastern,Townhouse_Project,,2528.429088197171,4,19,Good,Traditional,RC Frame,2165,237.97,18205,6574,22250,1517,405,27810000,28,2024
SA-R00045,Madinah,Western,University,,50142.9516510873,8,285,Good,Precast,RC Frame,85847,9071.07,722059,260743,882516,60172,16046,1094620000,83,2021
SA-R00046,Dammam,Eastern,Warehouse,,2141.88088516032,1,11,Luxury,SteelFrame,RC Frame,356,31.6,3855,1392,4712,321,86,13840000,17,2023
SA-R00047,Khamis Mushait,Southern,Government_Building,,22169.615936943323,5,206,Good,Traditional,RC Frame,22771,2535.66,199527,72051,243866,16627,4434,260490000,76,2023
SA-R00048,Tabuk,Northern,DataCenter,,3805.926020071033,3,23,Good,ICF,RC Frame,2792,355.97,20552,7422,25119,1713,457,29690000,24.5,2021
SA-R00049,Taif,Western,Bridge,,,,,Premium,SlipForm,RC Frame,,,,,,,,0,14.5,2022
SA-R00050,Najran,Southern,Hospital,,76069.1462178232,7,550,UltraLuxury,SteelFrame,Steel Frame,159125,20456.74,958471,346115,1171465,79873,21299,4948970000,175,2023
SA-R00051,Makkah,Western,CommercialComplex,,7574.306334726894,4,52,Raw,ICF,RC Frame,7192,809.06,54535,19693,66654,4545,1212,28870000,32.5,2023
SA-R00052,Riyadh,Central,Office_Building,,5894.3393609897685,9,40,Premium,Precast,RC Frame,11141,1254.85,95488,34482,116708,7957,2122,230940000,36.5,2023
SA-R00053,Khobar,Eastern,University,,15545.843076401747,8,86,Raw,Precast,RC Frame,25118,2856.44,223860,80838,273607,18655,4975,117510000,49.5,2024
SA-R00054,Madinah,Western,Villa,331,782.1627629445961,1,1,Premium,SlipForm,RC Frame,142,15.02,1408,508,1721,117,31,3120000,10,2022
SA-R00055,Khamis Mushait,Southern,Hotel,,18543.762922112895,7,167,Premium,SteelFrame,RC Frame,30900,4221.65,233651,84374,285574,19471,5192,458320000,81,2026
SA-R00056,Dammam,Eastern,Luxury_Villa,873,1823.0234793293878,2,1,UltraLuxury,SteelFrame,RC Frame,771,95.79,6563,2370,8021,547,146,41050000,17.5,2020
SA-R00057,Khobar,Eastern,School,,1124.8407505441314,4,7,Premium,AAC,RC Frame,965,103.26,8099,2925,9899,675,180,19500000,18,2024
SA-R00058,Dammam,Eastern,Villa,97,273.88353620366667,2,1,Good,Traditional,Steel Frame,120,13.18,986,356,1205,82,22,1550000,9.5,2020
SA-R00059,Hail,Northern,Villa,418,661.52783505374,1,1,UltraLuxury,ICF,Load Bearing,166,17.97,1191,430,1455,99,26,6520000,9,2020
SA-R00060,Tabuk,Northern,Hotel,,17911.788463288278,20,123,Good,PostTension,RC Frame,84239,9997,644824,232853,788119,53735,14329,858750000,88.5,2022
SA-R00061,Khobar,Eastern,Townhouse_Project,,11394.1544783758,3,57,Luxury,PostTension,RC Frame,5070,555.4,61528,22219,75201,5127,1367,236280000,43.5,2026
SA-R00062,Khamis Mushait,Southern,Residential_Compound,,48309.80639370965,2,350,Premium,Traditional,RC Frame,19523,2072.27,173915,62803,212563,14493,3865,341620000,87.5,2022
SA-R00063,Najran,Southern,Residential_Tower,,10880.804968844259,60,81,UltraLuxury,PostTension,Core Wall,189942,25296.61,1175127,424351,1436266,97927,26114,6047740000,142,2025
SA-R00064,Khamis Mushait,Southern,Luxury_Villa,1236,1978.393397334857,4,1,Standard,ICF,RC Frame,1531,191.12,14244,5144,17410,1187,317,12410000,18.5,2023
SA-R00065,Makkah,Western,Mall,,91665.9772866182,4,554,Good,SteelFrame,RC Frame,82816,10401.98,659995,238332,806661,55000,14667,1106560000,120,2026
SA-R00066,Makkah,Western,Residential_Compound,,42395.93638595727,1,262,Luxury,SteelFrame,RC Frame,9473,959.88,76313,27557,93271,6359,1696,296420000,83.5,2023
SA-R00067,Madinah,Western,Bridge,,,,,Premium,AAC,RC Frame,,,,,,,,0,16,2023
SA-R00068,Khobar,Eastern,Luxury_Villa,616,1308.2238261079005,4,1,Standard,SteelFrame,RC Frame,1165,136.36,9419,3401,11512,785,209,10360000,17,2025
SA-R00069,Madinah,Western,Hotel,,12494.35419273956,9,104,Good,PostTension,RC Frame,31451,3982.31,202409,73092,247388,16867,4498,306350000,64.5,2020
SA-R00070,Najran,Southern,Mall,,50774.02205635928,2,411,Good,Traditional,RC Frame,21579,2578.11,182786,66006,223406,15232,4062,229640000,102,2020
SA-R00071,Abha,Southern,Townhouse_Project,,3370.623769978829,4,41,UltraLuxury,SteelFrame,RC Frame,2589,302.92,24268,8764,29661,2022,539,134790000,26.5,2022
SA-R00072,Riyadh,Central,Hospital,,71334.15546286402,3,368,Good,AAC,RC Frame,63004,8428.04,385204,139102,470805,32100,8560,635390000,168,2026
SA-R00073,Madinah,Western,Apartment_Building,,7238.970491186142,6,43,Luxury,Precast,Flat Slab,9555,1106.16,78181,28232,95554,6515,1737,284410000,38,2023
SA-R00074,Hail,Northern,Hospital,,15292.47209756422,15,81,UltraLuxury,Traditional,Shear Wall,73014,10246.8,412897,149102,504652,34408,9175,2324040000,103.5,2023
SA-R00075,Makkah,Western,Townhouse_Project,,14747.167669195404,3,183,Standard,PostTension,RC Frame,10568,1162.06,79635,28757,97331,6636,1770,80020000,52.5,2020
SA-R00076,Dammam,Eastern,Hotel,,29224.771561891514,12,171,Standard,ICF,RC Frame,99378,12994.35,631255,227953,771534,52605,14028,631970000,95.5,2020
SA-R00077,Jeddah,Western,Parking,,16054.567114169486,5,94,Luxury,SteelFrame,RC Frame,15514,1409.88,144491,52177,176600,12041,3211,498360000,46.5,2021
SA-R00078,Dammam,Eastern,Parking,,9510.88665432464,4,108,Raw,ICF,RC Frame,6321,575.02,68478,24728,83696,5707,1522,35840000,39,2021
SA-R00079,Khobar,Eastern,CommercialComplex,,5506.24406895317,10,32,Luxury,Precast,RC Frame,11646,1397.37,99112,35791,121137,8259,2202,363760000,36.5,2020
SA-R00080,Dammam,Eastern,Townhouse_Project,,13032.810386600187,3,130,Good,Traditional,RC Frame,8564,951.7,70377,25414,86017,5865,1564,109510000,44,2025
SA-R00081,Madinah,Western,Bridge,,,,,Raw,AAC,RC Frame,,,,,,,,0,16,2021
SA-R00082,Jeddah,Western,Factory,,22131.295547553163,2,132,Premium,PostTension,Precast,9595,920.6,79673,28771,97378,6639,1771,185300000,70,2026
SA-R00083,Najran,Southern,Mall,,5074.579810871742,2,27,UltraLuxury,Precast,RC Frame,1921,240.43,18268,6597,22328,1522,406,93910000,40,2021
SA-R00084,Tabuk,Northern,University,,84455.67845380495,3,455,Luxury,SteelFrame,RC Frame,52895,6011.36,456061,164689,557407,38005,10135,1387730000,93,2025
SA-R00085,Najran,Southern,Villa,732,1091.7271082157563,3,1,Good,Precast,Steel Frame,626,70.77,5895,2129,7205,491,131,7470000,12.5,2023
SA-R00086,Buraydah,Central,DataCenter,,3216.925338726643,3,16,Premium,ICF,RC Frame,2092,265.77,17371,6273,21232,1448,386,39370000,26.5,2024
SA-R00087,Dammam,Eastern,Government_Building,,27065.368168914712,5,166,UltraLuxury,Precast,RC Frame,31503,3522.67,243588,87962,297719,20299,5413,1558660000,80,2026
SA-R00088,Buraydah,Central,Office_Building,,7279.206025112338,20,56,Good,Traditional,RC Frame,34186,3969.21,262051,94630,320285,21838,5823,372700000,44.5,2023
SA-R00089,Dammam,Eastern,Hotel,,25827.26000373394,35,145,UltraLuxury,PostTension,RC Frame,194131,24636.2,1627117,587570,1988699,135593,36158,10006670000,116,2021
SA-R00090,Tabuk,Northern,Parking,,15994.244278835095,1,106,UltraLuxury,ICF,RC Frame,3678,335.12,28790,10396,35187,2399,640,149630000,45,2020
SA-R00091,Makkah,Western,Road,,,,,UltraLuxury,SteelFrame,RC Frame,,,,,,,,0,16,2024
SA-R00092,Madinah,Western,Mall,,49362.08798239454,3,264,Good,AAC,RC Frame,32249,3853.09,266555,96256,325790,22213,5923,405590000,102,2023
SA-R00093,Najran,Southern,Mosque,,2613.8079794518844,1,16,Premium,ICF,RC Frame,696,70.36,4705,1699,5750,392,105,9260000,18,2022
SA-R00094,Khobar,Eastern,Mall,,46261.78479988311,6,275,Good,PostTension,RC Frame,65899,8293.48,499627,180421,610656,41636,11103,856990000,94,2020
SA-R00095,Makkah,Western,Warehouse,,13691.041965315479,2,93,Good,Traditional,Precast,3092,271.85,49288,17798,60241,4107,1095,79300000,37,2023
SA-R00096,Abha,Southern,Government_Building,,15817.172743914087,4,171,Good,ICF,RC Frame,13444,1556.11,113884,41125,139191,9490,2531,153810000,65,2025
SA-R00097,Dammam,Eastern,Mall,,47375.63368795718,2,242,Luxury,PostTension,RC Frame,17207,2154.39,170552,61588,208453,14213,3790,617560000,104.5,2022
SA-R00098,Buraydah,Central,Mosque,,4329.396976806244,1,24,UltraLuxury,ICF,RC Frame,1268,122.25,7793,2814,9525,649,173,45870000,22,2021
SA-R00099,Taif,Western,Residential_Tower,,15364.883451556027,52,101,Raw,SteelFrame,Post Tension,212164,27010.81,1438153,519333,1757743,119846,31959,666610000,138.5,2021
SA-R00100,Khamis Mushait,Southern,Hotel,,3324.885880322987,34,21,Luxury,Traditional,RC Frame,31270,3799.14,203483,73480,248701,16957,4522,624110000,71,2023
SA-R00101,Makkah,Western,Road,,,,,Premium,AAC,RC Frame,,,,,,,,0,15.5,2021
SA-R00102,Jeddah,Western,DataCenter,,3474.6338738145882,2,29,Luxury,AAC,RC Frame,1913,238.67,12509,4517,15288,1042,278,48070000,26,2025
SA-R00103,Taif,Western,Warehouse,,12370.446302052667,2,66,UltraLuxury,SlipForm,RC Frame,2259,187.36,44534,16082,54430,3711,990,241560000,32,2025
SA-R00104,Khobar,Eastern,CommercialComplex,,9105.895720773497,4,79,Premium,Traditional,RC Frame,9163,1131.37,65562,23675,80132,5464,1457,156280000,37,2020
SA-R00105,Hail,Northern,Factory,,17572.834513750175,2,134,UltraLuxury,Precast,RC Frame,5922,562.77,63262,22845,77320,5272,1406,354810000,58,2022
SA-R00106,Riyadh,Central,Hospital,,10221.503315877957,14,70,UltraLuxury,Traditional,Shear Wall,47240,6251.78,257582,93016,314822,21465,5724,1761080000,87.5,2022
SA-R00107,Dammam,Eastern,Villa,276,823.6717547106715,1,1,UltraLuxury,Traditional,Load Bearing,175,20.15,1483,535,1812,124,33,9150000,10.5,2023
SA-R00108,Dammam,Eastern,Apartment_Building,,2856.158664446295,11,16,Premium,PostTension,Flat Slab,6563,761.45,56552,20422,69119,4713,1257,129080000,30,2022
SA-R00109,Abha,Southern,Luxury_Villa,1173,2767.6538778925374,4,1,Standard,SteelFrame,RC Frame,1843,218.78,19927,7196,24355,1661,443,17640000,20.5,2022
SA-R00110,Najran,Southern,Road,,,,,Good,PostTension,RC Frame,,,,,,,,0,15,2024
SA-R00111,Taif,Western,Office_Building,,8016.273086937112,5,44,Good,Precast,RC Frame,9774,1103.01,72146,26053,88179,6012,1603,97980000,33.5,2025
SA-R00112,Taif,Western,School,,1634.2995806364129,4,14,Standard,AAC,RC Frame,1288,137.14,11767,4249,14382,981,261,11080000,19.5,2023
SA-R00113,Dammam,Eastern,Office_Building,,12386.557011469353,17,98,Premium,SteelFrame,RC Frame,52654,5799.06,379029,136871,463257,31586,8423,881150000,52.5,2025
SA-R00114,Riyadh,Central,Parking,,18248.472498438,4,105,UltraLuxury,SteelFrame,RC Frame,10298,973.56,131389,47446,160587,10949,2920,834100000,49,2025
SA-R00115,Madinah,Western,Townhouse_Project,,2832.8138854003714,2,27,Luxury,PostTension,RC Frame,1144,122.27,10198,3683,12464,850,227,35250000,24.5,2023
SA-R00116,Jeddah,Western,Apartment_Building,,5122.3077814867565,4,30,Raw,Traditional,Shear Wall,4739,544.75,36881,13318,45076,3073,820,19150000,31.5,2020
SA-R00117,Khamis Mushait,Southern,University,,64611.48298470448,4,474,UltraLuxury,PostTension,RC Frame,56203,6178.81,465203,167990,568581,38767,10338,2447450000,82.5,2020
SA-R00118,Hail,Northern,Apartment_Building,,4721.6909279170795,7,42,Luxury,Traditional,Flat Slab,8353,985.69,59493,21484,72714,4958,1322,190260000,32,2026
SA-R00119,Abha,Southern,Hospital,,17442.52555839483,5,105,UltraLuxury,Traditional,RC Frame,27475,3776.58,156983,56688,191868,13082,3489,852370000,98.5,2022
SA-R00120,Madinah,Western,Residential_Compound,,45535.149529340546,2,375,Luxury,SteelFrame,RC Frame,19708,2069.02,163927,59196,200355,13661,3643,575140000,84.5,2021
SA-R00121,Najran,Southern,University,,66904.750301752,2,465,Raw,AAC,RC Frame,27024,2968.02,240857,86976,294381,20071,5352,105130000,82,2023
SA-R00122,Buraydah,Central,Bridge,,,,,Standard,AAC,RC Frame,,,,,,,,0,14,2023
SA-R00123,Dammam,Eastern,Hotel,,19057.023527023153,22,220,Standard,Traditional,RC Frame,97525,12032.22,754658,272515,922360,62888,16770,811610000,91.5,2023
SA-R00124,Najran,Southern,Bridge,,,,,Raw,ICF,RC Frame,,,,,,,,0,16,2026
SA-R00125,Khobar,Eastern,Luxury_Villa,1793,2846.613198066805,2,1,Standard,SlipForm,RC Frame,1206,147.89,10248,3701,12525,854,228,10470000,19,2020
SA-R00126,Madinah,Western,Government_Building,,15362.290490354637,3,77,Luxury,SlipForm,RC Frame,11000,1176.43,82956,29956,101391,6913,1843,284070000,59,2022
SA-R00127,Hail,Northern,Townhouse_Project,,2502.056554313943,4,22,UltraLuxury,PostTension,RC Frame,2028,221.01,18015,6505,22018,1501,400,99410000,26,2022
SA-R00128,Najran,Southern,CommercialComplex,,3348.20794535882,8,17,Good,PostTension,RC Frame,5851,673.69,48214,17411,58928,4018,1071,64140000,27,2021
SA-R00129,Dammam,Eastern,Residential_Compound,,33076.000750872816,2,209,Raw,Traditional,RC Frame,10370,1061.65,119074,42999,145534,9923,2646,63220000,77.5,2025
SA-R00130,Dammam,Eastern,Hospital,,55274.974601675916,12,621,Standard,AAC,Shear Wall,174044,23675.66,1193939,431145,1459259,99495,26532,1237140000,158,2020
SA-R00131,Hail,Northern,CommercialComplex,,27148.50232824345,6,188,Luxury,SlipForm,RC Frame,39340,4628.24,293204,105879,358360,24434,6516,880180000,53.5,2022
SA-R00132,Dammam,Eastern,Apartment_Building,,2333.855435553314,5,15,Luxury,SteelFrame,Flat Slab,2776,337.06,21005,7585,25672,1750,467,73980000,24.5,2023
SA-R00133,Hail,Northern,Mosque,,3472.3346248281573,1,19,Standard,ICF,RC Frame,744,78.72,6250,2257,7639,521,139,5790000,21,2024
SA-R00134,Taif,Western,University,,40507.52772556803,6,398,Luxury,Traditional,RC Frame,51353,5868.45,437481,157979,534699,36457,9722,1408530000,64.5,2022
SA-R00135,Hail,Northern,Hotel,,9668.866239141687,22,55,Standard,SlipForm,RC Frame,56428,6434.77,382887,138265,467973,31907,8509,354240000,72,2023
SA-R00136,Buraydah,Central,Townhouse_Project,,7356.893291423392,2,71,Luxury,SlipForm,RC Frame,3020,319.29,26485,9564,32370,2207,589,91990000,36.5,2025
SA-R00137,Khobar,Eastern,Office_Building,,8652.396783510372,16,53,Luxury,PostTension,RC Frame,36559,4032.21,249189,89985,304564,20766,5538,933660000,47,2020
SA-R00138,Abha,Southern,Mall,,48276.514534512506,3,459,Luxury,AAC,RC Frame,40179,5138.41,260693,94139,318625,21724,5793,829840000,99.5,2021
SA-R00139,Tabuk,Northern,Townhouse_Project,,10807.365605091396,4,65,Standard,Traditional,RC Frame,8474,944,77813,28099,95105,6484,1729,70330000,43.5,2024
SA-R00140,Khamis Mushait,Southern,Mall,,23158.026560193674,5,157,Premium,AAC,RC Frame,27985,3381.34,208422,75264,254738,17369,4632,424320000,77.5,2025
SA-R00141,Khobar,Eastern,Townhouse_Project,,4171.165629134058,2,22,Luxury,ICF,RC Frame,1638,181.78,15016,5423,18353,1251,334,55710000,28,2025
SA-R00142,Buraydah,Central,Mosque,,1745.4301264357377,3,10,Raw,SteelFrame,RC Frame,999,102.16,9425,3404,11520,785,209,4680000,16,2022
SA-R00143,Khobar,Eastern,Luxury_Villa,1296,2969.2018476096378,4,1,Standard,ICF,RC Frame,2614,321.71,21378,7720,26129,1782,475,23090000,21.5,2021
SA-R00144,Taif,Western,Apartment_Building,,4934.454647730344,7,55,Premium,ICF,Flat Slab,8084,937.87,62174,22452,75991,5181,1382,131280000,32,2020
SA-R00145,Jeddah,Western,Townhouse_Project,,14074.493988534574,2,130,Raw,SlipForm,RC Frame,4836,498.82,50668,18297,61928,4222,1126,27160000,45.5,2025
SA-R00146,Taif,Western,Hotel,,29769.254368181573,25,337,Standard,SteelFrame,RC Frame,156846,18906.73,1339616,483750,1637309,111635,29769,1219770000,118.5,2020
SA-R00147,Najran,Southern,Bridge,,,,,UltraLuxury,SlipForm,RC Frame,,,,,,,,0,17,2021
SA-R00148,Taif,Western,Residential_Compound,,17816.067404241625,1,113,Luxury,AAC,RC Frame,4728,441.96,32069,11580,39195,2672,713,106610000,54.5,2023
SA-R00149,Jeddah,Western,Luxury_Villa,1062,2550.7942880163664,3,1,Good,SlipForm,RC Frame,1825,225.96,13774,4974,16835,1148,306,21270000,22,2021
SA-R00150,Makkah,Western,Luxury_Villa,428,978.4677527659562,3,1,Raw,AAC,RC Frame,652,78.68,5284,1908,6458,440,117,2530000,15.5,2026
SA-R00151,Jeddah,Western,School,,6543.163542860362,2,68,UltraLuxury,AAC,RC Frame,2513,262.78,23555,8506,28790,1963,523,152730000,27,2020
SA-R00152,Buraydah,Central,University,,11737.962021270794,7,79,Luxury,SteelFrame,RC Frame,16070,1816.89,147898,53408,180765,12325,3287,533060000,44.5,2022
SA-R00153,Riyadh,Central,Parking,,19116.515015978726,4,224,Standard,SteelFrame,RC Frame,14441,1354.69,137639,49703,168225,11470,3059,150260000,54.5,2021
SA-R00154,Najran,Southern,Hotel,,20258.502304347236,8,144,Standard,PostTension,RC Frame,43205,5351.85,291722,105344,356550,24310,6483,247180000,89,2022
SA-R00155,Taif,Western,Mosque,,1686.4428110833414,3,20,Standard,Traditional,RC Frame,734,73.49,9107,3289,11131,759,202,8350000,16,2022
SA-R00156,Hail,Northern,CommercialComplex,,20453.20747676298,8,229,Raw,SteelFrame,RC Frame,41151,5118.41,294526,106357,359976,24544,6545,134750000,54,2021
SA-R00157,Jeddah,Western,Government_Building,,21691.132747727133,8,186,Raw,SteelFrame,RC Frame,37271,3829.91,312352,112794,381764,26029,6941,171490000,69.5,2021
SA-R00158,Dammam,Eastern,University,,99829.09895009623,6,907,Raw,SteelFrame,RC Frame,106243,11158.76,1078154,389333,1317744,89846,23959,544850000,105.5,2022
SA-R00159,Makkah,Western,Bridge,,,,,Standard,SlipForm,RC Frame,,,,,,,,0,15.5,2020
SA-R00160,Khamis Mushait,Southern,Residential_Tower,,16462.748790215803,27,109,Premium,SlipForm,Core Wall,100843,12534.66,800090,288921,977887,66674,17780,1573580000,102.5,2022
SA-R00161,Riyadh,Central,Hotel,,19706.017167991628,12,109,Standard,Precast,RC Frame,54453,6726.87,425650,153707,520239,35471,9459,463700000,84,2022
SA-R00162,Riyadh,Central,University,,69291.4406207001,3,706,Raw,AAC,RC Frame,44316,5030.94,374174,135118,457324,31181,8315,207390000,88,2026
SA-R00163,Makkah,Western,Villa,228,337.1626829929121,1,1,Good,SteelFrame,Steel Frame,94,10.25,607,219,742,51,13,910000,8.5,2024
SA-R00164,Makkah,Western,Parking,,5308.023858834461,4,27,Raw,Traditional,RC Frame,3522,319.73,38218,13801,46711,3185,849,19220000,29.5,2023
SA-R00165,Jeddah,Western,Residential_Tower,,8268.407154611004,42,76,UltraLuxury,Precast,Shear Wall,97348,12487.07,625092,225728,764001,52091,13891,3965520000,109.5,2025
SA-R00166,Buraydah,Central,School,,4824.977906683114,3,47,Good,ICF,RC Frame,3820,405.14,26055,9409,31845,2171,579,37400000,29,2024
SA-R00167,Makkah,Western,School,,2682.542659634554,4,15,Raw,SteelFrame,RC Frame,2346,265.22,19314,6975,23606,1610,429,9870000,24.5,2022
SA-R00168,Madinah,Western,CommercialComplex,,7628.89288984045,10,47,Premium,Traditional,RC Frame,16201,1916.22,137320,49588,167836,11443,3052,293040000,38.5,2020
SA-R00169,Abha,Southern,Townhouse_Project,,4759.367082164645,4,42,Luxury,SlipForm,RC Frame,3306,348.09,34267,12374,41882,2856,761,113340000,31,2026
SA-R00170,Najran,Southern,Townhouse_Project,,6124.976269600453,3,34,Raw,SlipForm,RC Frame,4294,480.53,33075,11944,40425,2756,735,13510000,33.5,2023
SA-R00171,Makkah,Western,Government_Building,,5021.207155625914,7,36,Good,Traditional,RC Frame,7571,815.26,63267,22846,77327,5272,1406,97050000,46.5,2024
