raw_description,project_type,city,area_m2,floors,finishing_level,confidence,source
Mosque Buraydah على أرض مساحتها 17442 م²، مساحة البناء 8216 م²، 2 أدوار.,Mosque,Buraydah,8095,2,Good,64,synthetic
"Project: Factory in Buraydah, built-up area 8035 sqm, 5 floors. Quality finishing required.",Factory,Buraydah,7904,5,Premium,78,synthetic
إنشاء Parking في مدينة Riyadh بمساحة إجمالية 5038 متر مربع مكون من 6 طوابق.,Parking,Riyadh,5188,5,Standard,81,synthetic
Development of a Warehouse in Makkah with a total area of 17618 square meters across 10 floors.,Warehouse,Makkah,16296,9,Premium,95,synthetic
Development of a Mall in Abha with a total area of 4662 square meters across 24 floors.,Mall,Abha,4361,24,Standard,73,synthetic
مشروع Factory في Hail بمساحة 18013 م² وعدد 29 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Factory,Hail,18535,28,Raw,73,synthetic
إنشاء Bridge في مدينة Riyadh بمساحة إجمالية 12622 متر مربع مكون من 20 طوابق.,Bridge,Riyadh,13196,20,Good,93,synthetic
مشروع Parking في Riyadh بمساحة 18930 م² وعدد 17 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Parking,Riyadh,20212,17,Luxury,75,synthetic
إنشاء Office_Building في مدينة Khamis Mushait بمساحة إجمالية 19707 متر مربع مكون من 16 طوابق.,Office_Building,Khamis Mushait,19512,16,Standard,82,synthetic
مشروع Mosque في Makkah بمساحة 11617 م² وعدد 12 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Mosque,Makkah,12047,12,Raw,63,synthetic
إنشاء Road في مدينة Buraydah بمساحة إجمالية 1803 متر مربع مكون من 9 طوابق.,Road,Buraydah,1897,10,Raw,60,synthetic
إنشاء Factory في مدينة Makkah بمساحة إجمالية 9895 متر مربع مكون من 2 طوابق.,Factory,Makkah,10069,2,Luxury,68,synthetic
"Project: CommercialComplex in Dammam, built-up area 10062 sqm, 15 floors. Quality finishing required.",CommercialComplex,Dammam,9895,15,Luxury,95,synthetic
Government_Building Dammam على أرض مساحتها 11997 م²، مساحة البناء 4872 م²، 22 أدوار.,Government_Building,Dammam,5155,22,Luxury,60,synthetic
إنشاء DataCenter في مدينة Taif بمساحة إجمالية 1931 متر مربع مكون من 19 طوابق.,DataCenter,Taif,1949,19,Premium,78,synthetic
Development of a Townhouse_Project in Najran with a total area of 6058 square meters across 28 floors.,Townhouse_Project,Najran,5828,28,Premium,87,synthetic
Luxury_Villa Khobar على أرض مساحتها 11672 م²، مساحة البناء 7829 م²، 18 أدوار.,Luxury_Villa,Khobar,7859,18,Raw,68,synthetic
Development of a Luxury_Villa in Buraydah with a total area of 18332 square meters across 2 floors.,Luxury_Villa,Buraydah,17355,2,Standard,81,synthetic
Development of a School in Taif with a total area of 16762 square meters across 17 floors.,School,Taif,16092,17,Raw,93,synthetic
Villa Madinah على أرض مساحتها 2612 م²، مساحة البناء 1747 م²، 27 أدوار.,Villa,Madinah,1749,27,Standard,91,synthetic
مشروع Residential_Compound في Riyadh بمساحة 11830 م² وعدد 22 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Residential_Compound,Riyadh,12533,21,Good,98,synthetic
DataCenter Dammam على أرض مساحتها 17614 م²، مساحة البناء 11996 م²، 2 أدوار.,DataCenter,Dammam,12307,2,UltraLuxury,76,synthetic
Development of a Office_Building in Najran with a total area of 2616 square meters across 5 floors.,Office_Building,Najran,2724,5,Raw,64,synthetic
"Project: Parking in Riyadh, built-up area 8835 sqm, 21 floors. Quality finishing required.",Parking,Riyadh,9100,21,Standard,61,synthetic
إنشاء Villa في مدينة Jeddah بمساحة إجمالية 18249 متر مربع مكون من 27 طوابق.,Villa,Jeddah,17230,28,Good,70,synthetic
Development of a Luxury_Villa in Riyadh with a total area of 13182 square meters across 26 floors.,Luxury_Villa,Riyadh,12418,26,Premium,91,synthetic
مشروع Office_Building في Khamis Mushait بمساحة 17753 م² وعدد 7 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Office_Building,Khamis Mushait,18126,7,Luxury,98,synthetic
مشروع Government_Building في Najran بمساحة 19966 م² وعدد 1 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Government_Building,Najran,19663,1,Good,91,synthetic
إنشاء DataCenter في مدينة Jeddah بمساحة إجمالية 5310 متر مربع مكون من 29 طوابق.,DataCenter,Jeddah,5358,28,Raw,79,synthetic
Development of a Villa in Dammam with a total area of 18655 square meters across 6 floors.,Villa,Dammam,18542,6,Premium,95,synthetic
Development of a Mosque in Tabuk with a total area of 3407 square meters across 25 floors.,Mosque,Tabuk,3299,25,Raw,96,synthetic
Hotel Dammam على أرض مساحتها 40772 م²، مساحة البناء 18685 م²، 29 أدوار.,Hotel,Dammam,18925,30,Raw,68,synthetic
إنشاء Road في مدينة Buraydah بمساحة إجمالية 11193 متر مربع مكون من 25 طوابق.,Road,Buraydah,11393,26,Luxury,85,synthetic
إنشاء Mall في مدينة Tabuk بمساحة إجمالية 1774 متر مربع مكون من 3 طوابق.,Mall,Tabuk,1737,3,UltraLuxury,71,synthetic
مشروع Luxury_Villa في Dammam بمساحة 4233 م² وعدد 10 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Luxury_Villa,Dammam,4358,10,Raw,60,synthetic
مشروع Factory في Jeddah بمساحة 602 م² وعدد 3 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Factory,Jeddah,643,3,Raw,70,synthetic
Development of a CommercialComplex in Najran with a total area of 7769 square meters across 30 floors.,CommercialComplex,Najran,7399,29,Premium,88,synthetic
Hospital Tabuk على أرض مساحتها 28763 م²، مساحة البناء 17168 م²، 17 أدوار.,Hospital,Tabuk,17529,17,Premium,94,synthetic
Townhouse_Project Abha على أرض مساحتها 27495 م²، مساحة البناء 16416 م²، 10 أدوار.,Townhouse_Project,Abha,15851,10,Luxury,77,synthetic
Development of a Apartment_Building in Dammam with a total area of 18963 square meters across 8 floors.,Apartment_Building,Dammam,19418,8,Raw,60,synthetic
Residential_Tower Dammam على أرض مساحتها 21767 م²، مساحة البناء 12455 م²، 11 أدوار.,Residential_Tower,Dammam,12712,11,Premium,65,synthetic
Development of a Residential_Compound in Dammam with a total area of 19365 square meters across 24 floors.,Residential_Compound,Dammam,19704,23,Good,75,synthetic
Development of a Warehouse in Khobar with a total area of 1775 square meters across 14 floors.,Warehouse,Khobar,1773,14,Standard,62,synthetic
"Project: Townhouse_Project in Tabuk, built-up area 8091 sqm, 27 floors. Quality finishing required.",Townhouse_Project,Tabuk,7795,29,UltraLuxury,75,synthetic
مشروع Factory في Abha بمساحة 15848 م² وعدد 12 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Factory,Abha,16243,12,Good,82,synthetic
Development of a Hotel in Makkah with a total area of 3985 square meters across 27 floors.,Hotel,Makkah,4192,28,Good,94,synthetic
إنشاء Hospital في مدينة Dammam بمساحة إجمالية 2201 متر مربع مكون من 28 طوابق.,Hospital,Dammam,2226,27,Luxury,75,synthetic
"Project: Road in Najran, built-up area 4480 sqm, 6 floors. Quality finishing required.",Road,Najran,4523,6,Raw,74,synthetic
Development of a Mall in Najran with a total area of 13332 square meters across 29 floors.,Mall,Najran,13871,30,Standard,98,synthetic
Government_Building Tabuk على أرض مساحتها 42061 م²، مساحة البناء 13061 م²، 24 أدوار.,Government_Building,Tabuk,12538,23,Standard,69,synthetic
"Project: University in Buraydah, built-up area 6540 sqm, 24 floors. Quality finishing required.",University,Buraydah,6448,24,Good,68,synthetic
Development of a DataCenter in Jeddah with a total area of 3722 square meters across 15 floors.,DataCenter,Jeddah,3977,15,Premium,69,synthetic
Development of a CommercialComplex in Taif with a total area of 14498 square meters across 26 floors.,CommercialComplex,Taif,14205,27,Premium,88,synthetic
Government_Building Buraydah على أرض مساحتها 34469 م²، مساحة البناء 15128 م²، 3 أدوار.,Government_Building,Buraydah,14907,3,Raw,75,synthetic
Development of a Bridge in Khamis Mushait with a total area of 15321 square meters across 10 floors.,Bridge,Khamis Mushait,15621,10,Standard,97,synthetic
Road Taif على أرض مساحتها 25794 م²، مساحة البناء 14376 م²، 7 أدوار.,Road,Taif,14474,7,Raw,82,synthetic
Development of a Residential_Tower in Tabuk with a total area of 12849 square meters across 28 floors.,Residential_Tower,Tabuk,12888,30,UltraLuxury,94,synthetic
مشروع Luxury_Villa في Tabuk بمساحة 9445 م² وعدد 23 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Luxury_Villa,Tabuk,9541,24,Standard,86,synthetic
Development of a Townhouse_Project in Riyadh with a total area of 9315 square meters across 15 floors.,Townhouse_Project,Riyadh,9311,15,Luxury,93,synthetic
إنشاء Road في مدينة Abha بمساحة إجمالية 11974 متر مربع مكون من 12 طوابق.,Road,Abha,12181,12,Luxury,82,synthetic
"Project: Mosque in Dammam, built-up area 4554 sqm, 21 floors. Quality finishing required.",Mosque,Dammam,4529,21,Good,96,synthetic
Bridge Madinah على أرض مساحتها 3106 م²، مساحة البناء 1428 م²، 6 أدوار.,Bridge,Madinah,1318,6,Standard,81,synthetic
مشروع Office_Building في Taif بمساحة 3815 م² وعدد 18 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Office_Building,Taif,3662,17,Raw,74,synthetic
"Project: Office_Building in Buraydah, built-up area 5945 sqm, 13 floors. Quality finishing required.",Office_Building,Buraydah,5678,13,Premium,87,synthetic
مشروع CommercialComplex في Buraydah بمساحة 11076 م² وعدد 17 أدوار. يشمل المبنى تشطيبات عالية الجودة.,CommercialComplex,Buraydah,10469,17,UltraLuxury,88,synthetic
مشروع Warehouse في Madinah بمساحة 8516 م² وعدد 29 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Warehouse,Madinah,8624,30,Raw,74,synthetic
"Project: Road in Buraydah, built-up area 373 sqm, 8 floors. Quality finishing required.",Road,Buraydah,372,8,Raw,65,synthetic
"Project: Bridge in Makkah, built-up area 3800 sqm, 11 floors. Quality finishing required.",Bridge,Makkah,3910,11,Raw,85,synthetic
Office_Building Riyadh على أرض مساحتها 25604 م²، مساحة البناء 16802 م²، 14 أدوار.,Office_Building,Riyadh,16402,15,Luxury,60,synthetic
Apartment_Building Najran على أرض مساحتها 22726 م²، مساحة البناء 10628 م²، 13 أدوار.,Apartment_Building,Najran,10524,13,Luxury,61,synthetic
Hospital Taif على أرض مساحتها 21798 م²، مساحة البناء 14829 م²، 25 أدوار.,Hospital,Taif,15260,25,Good,67,synthetic
"Project: DataCenter in Makkah, built-up area 12449 sqm, 23 floors. Quality finishing required.",DataCenter,Makkah,12024,24,UltraLuxury,64,synthetic
Development of a DataCenter in Buraydah with a total area of 7913 square meters across 27 floors.,DataCenter,Buraydah,8327,26,Luxury,93,synthetic
إنشاء Office_Building في مدينة Madinah بمساحة إجمالية 4926 متر مربع مكون من 1 طوابق.,Office_Building,Madinah,5090,1,Premium,62,synthetic
مشروع Bridge في Dammam بمساحة 16632 م² وعدد 21 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Bridge,Dammam,16972,20,UltraLuxury,88,synthetic
مشروع Mosque في Khamis Mushait بمساحة 16042 م² وعدد 14 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Mosque,Khamis Mushait,16880,15,Good,90,synthetic
Development of a Warehouse in Khamis Mushait with a total area of 4342 square meters across 14 floors.,Warehouse,Khamis Mushait,4502,13,Luxury,89,synthetic
Development of a Warehouse in Hail with a total area of 6352 square meters across 1 floors.,Warehouse,Hail,6071,1,UltraLuxury,82,synthetic
Hotel Najran على أرض مساحتها 23520 م²، مساحة البناء 11369 م²، 6 أدوار.,Hotel,Najran,11080,6,Standard,93,synthetic
مشروع School في Jeddah بمساحة 15828 م² وعدد 23 أدوار. يشمل المبنى تشطيبات عالية الجودة.,School,Jeddah,15866,24,Standard,71,synthetic
University Buraydah على أرض مساحتها 9051 م²، مساحة البناء 6088 م²، 7 أدوار.,University,Buraydah,5986,7,Luxury,93,synthetic
School Abha على أرض مساحتها 3180 م²، مساحة البناء 2178 م²، 27 أدوار.,School,Abha,2059,28,Luxury,60,synthetic
"Project: Warehouse in Tabuk, built-up area 16779 sqm, 14 floors. Quality finishing required.",Warehouse,Tabuk,15725,14,Raw,89,synthetic
"Project: Office_Building in Khobar, built-up area 4026 sqm, 1 floors. Quality finishing required.",Office_Building,Khobar,3905,1,UltraLuxury,81,synthetic
Development of a Warehouse in Madinah with a total area of 14148 square meters across 28 floors.,Warehouse,Madinah,13198,29,Good,68,synthetic
CommercialComplex Jeddah على أرض مساحتها 32662 م²، مساحة البناء 12222 م²، 26 أدوار.,CommercialComplex,Jeddah,11711,25,Standard,71,synthetic
مشروع Apartment_Building في Taif بمساحة 9565 م² وعدد 5 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Apartment_Building,Taif,9894,5,Luxury,63,synthetic
إنشاء Hotel في مدينة Khamis Mushait بمساحة إجمالية 3314 متر مربع مكون من 2 طوابق.,Hotel,Khamis Mushait,3376,2,Standard,85,synthetic
Residential_Tower Khobar على أرض مساحتها 720 م²، مساحة البناء 493 م²، 29 أدوار.,Residential_Tower,Khobar,518,30,Good,90,synthetic
مشروع Government_Building في Makkah بمساحة 8343 م² وعدد 2 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Government_Building,Makkah,8302,2,Luxury,94,synthetic
مشروع DataCenter في Taif بمساحة 13297 م² وعدد 9 أدوار. يشمل المبنى تشطيبات عالية الجودة.,DataCenter,Taif,13314,10,Premium,84,synthetic
مشروع Hotel في Khobar بمساحة 931 م² وعدد 29 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Hotel,Khobar,919,29,Luxury,90,synthetic
مشروع Office_Building في Jeddah بمساحة 13541 م² وعدد 2 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Office_Building,Jeddah,13841,2,Premium,95,synthetic
"Project: Mall in Abha, built-up area 18473 sqm, 16 floors. Quality finishing required.",Mall,Abha,16890,16,Luxury,85,synthetic
"Project: Road in Najran, built-up area 14504 sqm, 20 floors. Quality finishing required.",Road,Najran,15164,21,Standard,83,synthetic
Villa Dammam على أرض مساحتها 16031 م²، مساحة البناء 9085 م²، 19 أدوار.,Villa,Dammam,8898,18,Raw,86,synthetic
"Project: CommercialComplex in Khamis Mushait, built-up area 8494 sqm, 27 floors. Quality finishing required.",CommercialComplex,Khamis Mushait,8587,28,Luxury,61,synthetic
Residential_Compound Khobar على أرض مساحتها 14608 م²، مساحة البناء 9152 م²، 17 أدوار.,Residential_Compound,Khobar,9379,17,Premium,66,synthetic
إنشاء Warehouse في مدينة Dammam بمساحة إجمالية 5715 متر مربع مكون من 8 طوابق.,Warehouse,Dammam,5852,8,Standard,76,synthetic
Development of a Hotel in Buraydah with a total area of 6755 square meters across 27 floors.,Hotel,Buraydah,6763,26,Luxury,94,synthetic
"Project: Factory in Hail, built-up area 1889 sqm, 23 floors. Quality finishing required.",Factory,Hail,1838,23,UltraLuxury,96,synthetic
Government_Building Khamis Mushait على أرض مساحتها 32813 م²، مساحة البناء 15782 م²، 9 أدوار.,Government_Building,Khamis Mushait,15945,9,Good,97,synthetic
إنشاء School في مدينة Abha بمساحة إجمالية 2395 متر مربع مكون من 26 طوابق.,School,Abha,2355,25,Raw,86,synthetic
"Project: CommercialComplex in Makkah, built-up area 19613 sqm, 24 floors. Quality finishing required.",CommercialComplex,Makkah,20616,24,UltraLuxury,69,synthetic
إنشاء Residential_Tower في مدينة Makkah بمساحة إجمالية 8807 متر مربع مكون من 10 طوابق.,Residential_Tower,Makkah,8959,10,Standard,90,synthetic
مشروع University في Riyadh بمساحة 15786 م² وعدد 16 أدوار. يشمل المبنى تشطيبات عالية الجودة.,University,Riyadh,15996,16,UltraLuxury,69,synthetic
مشروع Luxury_Villa في Khobar بمساحة 13085 م² وعدد 1 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Luxury_Villa,Khobar,13094,1,UltraLuxury,87,synthetic
مشروع Mosque في Hail بمساحة 13229 م² وعدد 23 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Mosque,Hail,13251,24,Luxury,86,synthetic
إنشاء Hospital في مدينة Abha بمساحة إجمالية 3804 متر مربع مكون من 28 طوابق.,Hospital,Abha,3585,28,Raw,81,synthetic
Development of a Mall in Najran with a total area of 17316 square meters across 15 floors.,Mall,Najran,16852,16,Raw,67,synthetic
"Project: CommercialComplex in Riyadh, built-up area 8435 sqm, 16 floors. Quality finishing required.",CommercialComplex,Riyadh,8507,16,Standard,81,synthetic
مشروع Apartment_Building في Madinah بمساحة 9793 م² وعدد 24 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Apartment_Building,Madinah,10260,23,Luxury,70,synthetic
Development of a Warehouse in Madinah with a total area of 4787 square meters across 28 floors.,Warehouse,Madinah,4716,28,UltraLuxury,78,synthetic
"Project: Residential_Compound in Jeddah, built-up area 11503 sqm, 26 floors. Quality finishing required.",Residential_Compound,Jeddah,11757,25,Raw,86,synthetic
"Project: Apartment_Building in Buraydah, built-up area 5297 sqm, 14 floors. Quality finishing required.",Apartment_Building,Buraydah,5148,15,UltraLuxury,71,synthetic
إنشاء DataCenter في مدينة Makkah بمساحة إجمالية 2465 متر مربع مكون من 26 طوابق.,DataCenter,Makkah,2541,26,Luxury,77,synthetic
"Project: DataCenter in Makkah, built-up area 10592 sqm, 16 floors. Quality finishing required.",DataCenter,Makkah,10487,15,Raw,84,synthetic
Development of a Bridge in Riyadh with a total area of 10650 square meters across 9 floors.,Bridge,Riyadh,10671,9,UltraLuxury,97,synthetic
School Tabuk على أرض مساحتها 23372 م²، مساحة البناء 12749 م²، 17 أدوار.,School,Tabuk,12376,17,Luxury,79,synthetic
"Project: Office_Building in Riyadh, built-up area 9981 sqm, 3 floors. Quality finishing required.",Office_Building,Riyadh,10141,3,Good,69,synthetic
إنشاء DataCenter في مدينة Hail بمساحة إجمالية 2387 متر مربع مكون من 2 طوابق.,DataCenter,Hail,2325,2,Premium,96,synthetic
Apartment_Building Hail على أرض مساحتها 18399 م²، مساحة البناء 10375 م²، 9 أدوار.,Apartment_Building,Hail,10534,9,Good,77,synthetic
Development of a Road in Hail with a total area of 18713 square meters across 19 floors.,Road,Hail,18340,20,Luxury,86,synthetic
مشروع Hospital في Khamis Mushait بمساحة 9015 م² وعدد 16 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Hospital,Khamis Mushait,9463,16,UltraLuxury,81,synthetic
"Project: Luxury_Villa in Taif, built-up area 8986 sqm, 18 floors. Quality finishing required.",Luxury_Villa,Taif,9106,18,Luxury,89,synthetic
