project_id,risk_category,description,probability,impact,mitigation,detected_by_ai
SA-R00041,Material,Aggregate gradation issue,5,1,Alternative supplier sourcing,true
SA-R00041,Structural,Crack propagation in shear walls,5,4,Design review and structural analysis,true
SA-R00042,Safety,Fire hazard from hot work,3,4,Enhanced safety training,true
SA-R00042,Schedule,Weather delay potential,2,2,Accelerated procurement plan,true
SA-R00042,Material,Steel corrosion risk,3,1,Alternative supplier sourcing,false
SA-R00042,Structural,Foundation settlement risk,3,5,Design review and structural analysis,false
SA-R00043,Quality,Tolerance deviation,2,1,Additional testing regime,true
SA-R00043,Safety,Working at height risk,1,5,Enhanced safety training,false
SA-R00043,Financial,Labor shortage cost impact,2,5,Fixed price contracts,true
SA-R00044,Financial,Currency fluctuation risk,4,4,Fixed price contracts,true
SA-R00044,Quality,Tolerance deviation,3,3,Additional testing regime,true
SA-R00044,Safety,Electrical shock risk,3,4,Enhanced safety training,false
SA-R00045,Structural,Crack propagation in shear walls,2,5,Design review and structural analysis,false
SA-R00045,Financial,Steel price volatility,3,2,Fixed price contracts,false
SA-R00045,Quality,Incomplete waterproofing,2,4,Additional testing regime,false
SA-R00045,Material,Block moisture absorption high,5,3,Alternative supplier sourcing,false
SA-R00045,Safety,Heavy lifting accident potential,4,2,Enhanced safety training,true
SA-R00045,Schedule,Subcontractor availability,2,2,Accelerated procurement plan,true
SA-R00046,Quality,Tolerance deviation,1,5,Additional testing regime,false
SA-R00046,Financial,Steel price volatility,2,1,Fixed price contracts,false
SA-R00046,Schedule,Material procurement delay,4,3,Accelerated procurement plan,false
SA-R00046,Material,Steel corrosion risk,3,4,Alternative supplier sourcing,false
SA-R00046,Structural,Crack propagation in shear walls,4,3,Design review and structural analysis,true
SA-R00047,Safety,Confined space hazard,3,5,Enhanced safety training,false
SA-R00047,Structural,Inadequate reinforcement detailing,2,1,Design review and structural analysis,true
SA-R00047,Quality,Testing failure rate high,1,3,Additional testing regime,false
SA-R00047,Material,Aggregate gradation issue,4,3,Alternative supplier sourcing,false
SA-R00047,Financial,Currency fluctuation risk,3,3,Fixed price contracts,false
SA-R00048,Schedule,Material procurement delay,4,4,Accelerated procurement plan,true
SA-R00048,Material,Aggregate gradation issue,4,1,Alternative supplier sourcing,false
SA-R00048,Financial,Cash flow constraint,5,2,Fixed price contracts,true
SA-R00048,Quality,Curing duration not met,5,2,Additional testing regime,true
SA-R00048,Structural,Inadequate reinforcement detailing,1,2,Design review and structural analysis,true
SA-R00049,Financial,Steel price volatility,3,5,Fixed price contracts,true
SA-R00049,Schedule,Subcontractor availability,2,3,Accelerated procurement plan,true
SA-R00049,Quality,Testing failure rate high,2,3,Additional testing regime,true
SA-R00049,Safety,Fire hazard from hot work,3,1,Enhanced safety training,false
SA-R00050,Financial,Labor shortage cost impact,4,3,Fixed price contracts,true
SA-R00050,Material,Aggregate gradation issue,2,1,Alternative supplier sourcing,false
SA-R00050,Structural,Inadequate reinforcement detailing,3,1,Design review and structural analysis,true
SA-R00051,Financial,Cement price increase,4,5,Fixed price contracts,false
SA-R00051,Material,Cement setting time abnormal,5,3,Alternative supplier sourcing,true
SA-R00052,Quality,Tolerance deviation,5,4,Additional testing regime,false
SA-R00052,Schedule,Permit approval delay,1,2,Accelerated procurement plan,false
SA-R00053,Schedule,Weather delay potential,1,5,Accelerated procurement plan,true
SA-R00053,Financial,Cement price increase,1,1,Fixed price contracts,false
SA-R00053,Quality,Testing failure rate high,4,2,Additional testing regime,false
SA-R00053,Safety,Fire hazard from hot work,5,3,Enhanced safety training,false
SA-R00053,Structural,Column failure potential,1,3,Design review and structural analysis,false
SA-R00054,Financial,Cement price increase,1,4,Fixed price contracts,true
SA-R00054,Quality,Incomplete waterproofing,2,2,Additional testing regime,false
SA-R00054,Structural,Column failure potential,1,3,Design review and structural analysis,false
SA-R00055,Structural,Slab deflection beyond limits,5,4,Design review and structural analysis,true
SA-R00055,Safety,Fire hazard from hot work,4,3,Enhanced safety training,false
SA-R00055,Quality,Curing duration not met,1,5,Additional testing regime,false
SA-R00055,Material,Cement setting time abnormal,5,1,Alternative supplier sourcing,true
SA-R00055,Schedule,Material procurement delay,1,4,Accelerated procurement plan,false
SA-R00055,Financial,Steel price volatility,3,5,Fixed price contracts,false
SA-R00056,Financial,Cement price increase,2,3,Fixed price contracts,false
SA-R00056,Material,Concrete strength below spec,3,2,Alternative supplier sourcing,false
SA-R00056,Quality,Curing duration not met,4,4,Additional testing regime,false
SA-R00057,Schedule,Subcontractor availability,2,2,Accelerated procurement plan,true
SA-R00057,Financial,Cash flow constraint,3,3,Fixed price contracts,false
SA-R00058,Structural,Inadequate reinforcement detailing,2,3,Design review and structural analysis,false
SA-R00058,Material,Concrete strength below spec,1,2,Alternative supplier sourcing,true
SA-R00058,Schedule,Site handover delay,5,2,Accelerated procurement plan,true
SA-R00058,Financial,Labor shortage cost impact,1,1,Fixed price contracts,true
SA-R00058,Safety,Electrical shock risk,4,3,Enhanced safety training,false
SA-R00058,Quality,Curing duration not met,3,4,Additional testing regime,false
SA-R00059,Financial,Cash flow constraint,5,2,Fixed price contracts,true
SA-R00059,Schedule,Subcontractor availability,5,3,Accelerated procurement plan,false
SA-R00059,Material,Aggregate gradation issue,1,2,Alternative supplier sourcing,false
SA-R00059,Quality,Incomplete waterproofing,5,5,Additional testing regime,true
SA-R00060,Financial,Steel price volatility,4,1,Fixed price contracts,false
SA-R00060,Quality,Poor workmanship risk,5,4,Additional testing regime,false
SA-R00060,Schedule,Site handover delay,5,3,Accelerated procurement plan,true
SA-R00060,Material,Block moisture absorption high,5,1,Alternative supplier sourcing,true
SA-R00060,Safety,Heavy lifting accident potential,1,4,Enhanced safety training,false
SA-R00060,Structural,Crack propagation in shear walls,5,5,Design review and structural analysis,true
SA-R00061,Schedule,Material procurement delay,3,4,Accelerated procurement plan,false
SA-R00061,Safety,Confined space hazard,3,1,Enhanced safety training,false
SA-R00061,Financial,Currency fluctuation risk,2,1,Fixed price contracts,true
SA-R00061,Quality,Curing duration not met,4,4,Additional testing regime,false
SA-R00062,Safety,Electrical shock risk,5,5,Enhanced safety training,true
SA-R00062,Financial,Steel price volatility,2,3,Fixed price contracts,true
SA-R00062,Quality,Testing failure rate high,5,3,Additional testing regime,true
SA-R00062,Schedule,Permit approval delay,5,2,Accelerated procurement plan,false
SA-R00062,Material,Steel corrosion risk,1,5,Alternative supplier sourcing,false
SA-R00063,Schedule,Permit approval delay,3,3,Accelerated procurement plan,false
SA-R00063,Material,Steel corrosion risk,1,5,Alternative supplier sourcing,false
SA-R00063,Structural,Slab deflection beyond limits,4,3,Design review and structural analysis,false
SA-R00063,Quality,Incomplete waterproofing,1,3,Additional testing regime,false
SA-R00063,Financial,Labor shortage cost impact,1,3,Fixed price contracts,false
SA-R00063,Safety,Heavy lifting accident potential,1,1,Enhanced safety training,false
SA-R00064,Structural,Slab deflection beyond limits,5,2,Design review and structural analysis,true
SA-R00064,Material,Aggregate gradation issue,3,4,Alternative supplier sourcing,false
SA-R00064,Schedule,Site handover delay,2,4,Accelerated procurement plan,true
SA-R00064,Financial,Cement price increase,3,4,Fixed price contracts,true
SA-R00064,Safety,Heavy lifting accident potential,1,1,Enhanced safety training,true
SA-R00065,Financial,Cash flow constraint,2,1,Fixed price contracts,false
SA-R00065,Safety,Confined space hazard,3,1,Enhanced safety training,false
SA-R00065,Schedule,Site handover delay,3,3,Accelerated procurement plan,false
SA-R00066,Schedule,Site handover delay,4,2,Accelerated procurement plan,true
SA-R00066,Structural,Column failure potential,5,2,Design review and structural analysis,false
SA-R00066,Financial,Cash flow constraint,5,5,Fixed price contracts,true
SA-R00066,Material,Concrete strength below spec,3,5,Alternative supplier sourcing,true
SA-R00067,Structural,Foundation settlement risk,3,5,Design review and structural analysis,true
SA-R00067,Financial,Cash flow constraint,2,5,Fixed price contracts,false
SA-R00067,Material,Steel corrosion risk,3,2,Alternative supplier sourcing,true
SA-R00067,Schedule,Site handover delay,3,2,Accelerated procurement plan,false
SA-R00067,Quality,Testing failure rate high,2,2,Additional testing regime,false
SA-R00067,Safety,Heavy lifting accident potential,4,5,Enhanced safety training,false
SA-R00068,Structural,Inadequate reinforcement detailing,2,3,Design review and structural analysis,true
SA-R00068,Material,Concrete strength below spec,3,5,Alternative supplier sourcing,true
SA-R00068,Quality,Poor workmanship risk,3,1,Additional testing regime,true
SA-R00068,Safety,Fire hazard from hot work,1,1,Enhanced safety training,false
SA-R00068,Schedule,Permit approval delay,5,2,Accelerated procurement plan,true
SA-R00068,Financial,Steel price volatility,1,5,Fixed price contracts,false
SA-R00069,Schedule,Subcontractor availability,5,1,Accelerated procurement plan,false
SA-R00069,Safety,Working at height risk,2,5,Enhanced safety training,true
SA-R00069,Quality,Poor workmanship risk,4,5,Additional testing regime,false
SA-R00070,Structural,Slab deflection beyond limits,3,2,Design review and structural analysis,false
SA-R00070,Schedule,Site handover delay,1,3,Accelerated procurement plan,true
SA-R00070,Safety,Working at height risk,5,3,Enhanced safety training,true
SA-R00070,Financial,Labor shortage cost impact,2,4,Fixed price contracts,false
SA-R00071,Financial,Currency fluctuation risk,4,3,Fixed price contracts,false
SA-R00071,Material,Cement setting time abnormal,3,5,Alternative supplier sourcing,true
SA-R00071,Quality,Incomplete waterproofing,5,3,Additional testing regime,false
SA-R00071,Schedule,Weather delay potential,5,4,Accelerated procurement plan,false
SA-R00071,Structural,Column failure potential,2,3,Design review and structural analysis,true
SA-R00072,Financial,Currency fluctuation risk,5,2,Fixed price contracts,false
SA-R00072,Structural,Column failure potential,4,1,Design review and structural analysis,true
SA-R00072,Material,Aggregate gradation issue,3,4,Alternative supplier sourcing,true
SA-R00072,Schedule,Site handover delay,5,3,Accelerated procurement plan,false
SA-R00073,Quality,Incomplete waterproofing,2,2,Additional testing regime,true
SA-R00073,Structural,Foundation settlement risk,4,3,Design review and structural analysis,false
SA-R00073,Material,Aggregate gradation issue,2,3,Alternative supplier sourcing,false
SA-R00073,Safety,Working at height risk,4,4,Enhanced safety training,false
SA-R00073,Schedule,Subcontractor availability,2,2,Accelerated procurement plan,false
SA-R00074,Schedule,Weather delay potential,3,2,Accelerated procurement plan,false
SA-R00074,Safety,Fire hazard from hot work,2,5,Enhanced safety training,false
SA-R00074,Material,Aggregate gradation issue,1,3,Alternative supplier sourcing,false
SA-R00074,Structural,Column failure potential,3,4,Design review and structural analysis,false
SA-R00074,Financial,Labor shortage cost impact,4,4,Fixed price contracts,false
SA-R00074,Quality,Tolerance deviation,1,1,Additional testing regime,false
SA-R00075,Financial,Labor shortage cost impact,1,3,Fixed price contracts,false
SA-R00075,Schedule,Weather delay potential,1,1,Accelerated procurement plan,false
SA-R00075,Material,Block moisture absorption high,1,5,Alternative supplier sourcing,true
SA-R00075,Safety,Confined space hazard,5,5,Enhanced safety training,false
SA-R00075,Structural,Column failure potential,1,2,Design review and structural analysis,true
SA-R00076,Material,Block moisture absorption high,1,2,Alternative supplier sourcing,false
SA-R00076,Schedule,Permit approval delay,4,2,Accelerated procurement plan,false
SA-R00077,Financial,Currency fluctuation risk,2,5,Fixed price contracts,false
SA-R00077,Quality,Testing failure rate high,1,4,Additional testing regime,false
SA-R00077,Structural,Column failure potential,1,2,Design review and structural analysis,false
SA-R00077,Material,Concrete strength below spec,4,2,Alternative supplier sourcing,true
SA-R00077,Schedule,Subcontractor availability,4,5,Accelerated procurement plan,true
SA-R00077,Safety,Confined space hazard,2,5,Enhanced safety training,false
SA-R00078,Quality,Incomplete waterproofing,3,2,Additional testing regime,false
SA-R00078,Financial,Cement price increase,3,5,Fixed price contracts,false
SA-R00078,Structural,Crack propagation in shear walls,5,4,Design review and structural analysis,false
SA-R00078,Schedule,Weather delay potential,5,3,Accelerated procurement plan,true
SA-R00079,Material,Block moisture absorption high,5,3,Alternative supplier sourcing,true
SA-R00079,Financial,Labor shortage cost impact,1,5,Fixed price contracts,false
SA-R00079,Structural,Crack propagation in shear walls,5,4,Design review and structural analysis,false
SA-R00079,Safety,Fire hazard from hot work,1,4,Enhanced safety training,false
SA-R00079,Schedule,Weather delay potential,2,1,Accelerated procurement plan,false
SA-R00080,Quality,Curing duration not met,1,2,Additional testing regime,true
SA-R00080,Structural,Inadequate reinforcement detailing,4,3,Design review and structural analysis,true
SA-R00080,Material,Aggregate gradation issue,3,3,Alternative supplier sourcing,false
SA-R00080,Safety,Electrical shock risk,2,5,Enhanced safety training,false
SA-R00080,Financial,Steel price volatility,3,1,Fixed price contracts,true
SA-R00080,Schedule,Subcontractor availability,4,2,Accelerated procurement plan,true
SA-R00081,Quality,Incomplete waterproofing,1,1,Additional testing regime,false
SA-R00081,Structural,Crack propagation in shear walls,3,4,Design review and structural analysis,false
SA-R00082,Structural,Inadequate reinforcement detailing,3,3,Design review and structural analysis,false
SA-R00082,Material,Cement setting time abnormal,5,1,Alternative supplier sourcing,false
SA-R00082,Quality,Testing failure rate high,5,4,Additional testing regime,false
SA-R00082,Financial,Cement price increase,3,3,Fixed price contracts,true
SA-R00083,Schedule,Weather delay potential,1,1,Accelerated procurement plan,false
SA-R00083,Structural,Foundation settlement risk,2,5,Design review and structural analysis,false
SA-R00083,Material,Aggregate gradation issue,4,4,Alternative supplier sourcing,true
SA-R00083,Financial,Cement price increase,3,4,Fixed price contracts,true
SA-R00083,Safety,Electrical shock risk,4,1,Enhanced safety training,true
SA-R00084,Quality,Poor workmanship risk,4,1,Additional testing regime,true
SA-R00084,Structural,Slab deflection beyond limits,5,4,Design review and structural analysis,false
SA-R00084,Material,Concrete strength below spec,2,5,Alternative supplier sourcing,true
SA-R00084,Safety,Electrical shock risk,4,2,Enhanced safety training,true
SA-R00085,Structural,Foundation settlement risk,2,2,Design review and structural analysis,false
SA-R00085,Financial,Labor shortage cost impact,4,2,Fixed price contracts,false
SA-R00085,Quality,Incomplete waterproofing,5,3,Additional testing regime,true
SA-R00085,Safety,Electrical shock risk,5,2,Enhanced safety training,false
SA-R00085,Material,Block moisture absorption high,4,5,Alternative supplier sourcing,false
SA-R00086,Schedule,Permit approval delay,3,1,Accelerated procurement plan,true
SA-R00086,Quality,Curing duration not met,4,1,Additional testing regime,true
SA-R00086,Material,Concrete strength below spec,3,2,Alternative supplier sourcing,false
SA-R00086,Safety,Confined space hazard,3,5,Enhanced safety training,true
SA-R00087,Safety,Working at height risk,1,5,Enhanced safety training,false
SA-R00087,Financial,Cement price increase,3,5,Fixed price contracts,true
SA-R00087,Schedule,Permit approval delay,4,1,Accelerated procurement plan,false
SA-R00087,Quality,Testing failure rate high,5,5,Additional testing regime,true
SA-R00087,Material,Aggregate gradation issue,3,2,Alternative supplier sourcing,false
SA-R00088,Financial,Cash flow constraint,5,4,Fixed price contracts,false
SA-R00088,Schedule,Subcontractor availability,1,4,Accelerated procurement plan,true
SA-R00088,Quality,Curing duration not met,5,4,Additional testing regime,false
SA-R00088,Safety,Confined space hazard,2,3,Enhanced safety training,false
SA-R00089,Structural,Column failure potential,2,3,Design review and structural analysis,false
SA-R00089,Material,Aggregate gradation issue,5,4,Alternative supplier sourcing,false
SA-R00089,Quality,Poor workmanship risk,4,4,Additional testing regime,false
SA-R00089,Schedule,Subcontractor availability,5,5,Accelerated procurement plan,false
SA-R00089,Financial,Cash flow constraint,5,5,Fixed price contracts,true
SA-R00089,Safety,Confined space hazard,2,4,Enhanced safety training,false
SA-R00090,Material,Cement setting time abnormal,1,3,Alternative supplier sourcing,true
SA-R00090,Structural,Inadequate reinforcement detailing,4,1,Design review and structural analysis,false
SA-R00090,Quality,Curing duration not met,1,5,Additional testing regime,false
SA-R00090,Financial,Steel price volatility,4,4,Fixed price contracts,false
SA-R00091,Structural,Slab deflection beyond limits,2,4,Design review and structural analysis,true
SA-R00091,Material,Block moisture absorption high,2,3,Alternative supplier sourcing,true
SA-R00091,Quality,Poor workmanship risk,2,4,Additional testing regime,false
SA-R00092,Structural,Inadequate reinforcement detailing,5,5,Design review and structural analysis,true
SA-R00092,Safety,Working at height risk,1,2,Enhanced safety training,false
SA-R00092,Quality,Incomplete waterproofing,4,5,Additional testing regime,false
SA-R00092,Material,Block moisture absorption high,3,2,Alternative supplier sourcing,true
SA-R00092,Schedule,Weather delay potential,2,3,Accelerated procurement plan,false
SA-R00092,Financial,Cash flow constraint,3,1,Fixed price contracts,false
SA-R00093,Financial,Cash flow constraint,1,2,Fixed price contracts,false
SA-R00093,Structural,Column failure potential,4,3,Design review and structural analysis,true
SA-R00093,Schedule,Material procurement delay,5,3,Accelerated procurement plan,false
SA-R00093,Safety,Heavy lifting accident potential,2,3,Enhanced safety training,false
SA-R00094,Structural,Foundation settlement risk,4,4,Design review and structural analysis,false
SA-R00094,Material,Concrete strength below spec,4,5,Alternative supplier sourcing,false
SA-R00094,Schedule,Weather delay potential,5,2,Accelerated procurement plan,true
SA-R00094,Financial,Cement price increase,5,2,Fixed price contracts,true
